Stop;Longitude;Latitude;Ort
245;9,41426;48,80174;
246;9,41412;48,80178;
247;9,41351;48,80178;
248;9,41279;48,80171;
249;9,41238;48,8017;
250;9,40999;48,80198;
251;9,40892;48,80222;
252;9,4081;48,80232;
253;9,40766;48,80242;
254;9,40742;48,80252;
255;9,40724;48,80262;
256;9,40603;48,80352;
257;9,40587;48,80361;
258;9,40564;48,80371;
259;9,40509;48,80383;
260;9,40472;48,80397;
261;9,40424;48,80429;
262;9,4036;48,80458;
263;9,40178;48,80529;
264;9,40017;48,80606;
265;9,3996;48,80637;
266;9,39895;48,80648;
267;9,39814;48,80655;
268;9,39704;48,80657;
269;9,39631;48,80654;
270;9,39605;48,80657;
271;9,39555;48,80674;
272;9,39537;48,80678;
273;9,39381;48,80681;
274;9,39321;48,8066;
275;9,39317;48,80666;
276;9,3932;48,8069;
277;9,39318;48,80694;
278;9,39312;48,80701;
279;9,39299;48,80709;
280;9,38798;48,80862;
281;9,38771;48,80867;
282;9,38739;48,80864;
283;9,38735;48,80873;
284;9,38725;48,80886;
285;9,38723;48,80895;
286;9,38717;48,80905;
287;9,38707;48,80916;
288;9,38659;48,80955;
289;9,38645;48,80971;
290;9,38643;48,80976;
291;9,38641;48,80986;
292;9,38641;48,8099;
293;9,38647;48,81008;
294;9,38672;48,81066;
295;9,38673;48,81103;
296;9,38675;48,81108;
297;9,38674;48,81112;
298;9,38653;48,81155;
299;9,38605;48,81216;
300;9,38569;48,81273;
301;9,3857;48,81276;
302;9,38567;48,81323;
303;9,38559;48,81348;
304;9,38539;48,81378;
305;9,38534;48,8138;
306;9,38527;48,81386;
307;9,38512;48,81427;
308;9,38495;48,8146;
309;9,3845;48,81529;
310;9,38448;48,81531;
311;9,38444;48,81538;
312;9,38428;48,81556;
313;9,38419;48,81562;
314;9,38306;48,81599;
315;9,38291;48,81607;
316;9,3829;48,81614;
317;9,38293;48,81643;
318;9,38317;48,81717;
319;9,38273;48,8172;
320;9,38237;48,81719;
321;9,38178;48,8171;
322;9,38138;48,81712;
323;9,38136;48,81755;
324;9,38076;48,81757;
325;9,3806;48,81761;
326;9,38045;48,81757;
327;9,38005;48,81751;
328;9,37972;48,81753;
329;9,37954;48,81757;
330;9,37932;48,8177;
331;9,37933;48,81817;
332;9,37809;48,81822;
333;9,37765;48,8183;
334;9,37733;48,81839;
335;9,37725;48,81843;
336;9,37718;48,81845;
337;9,3767;48,81871;
338;9,37639;48,81883;
339;9,37449;48,81937;
340;9,37082;48,8207;
341;9,3685;48,82192;
342;9,36453;48,82482;
343;9,36406;48,82523;
344;9,36395;48,82544;
345;9,36352;48,82652;
346;9,36303;48,82745;
347;9,36254;48,82823;
348;9,36238;48,82842;
349;9,36152;48,82962;
350;9,36031;48,83087;
351;9,35984;48,83142;
352;9,3596;48,83164;
353;9,3585;48,83278;
354;9,35742;48,83407;
355;9,35734;48,83422;
356;9,35691;48,83547;
357;9,35627;48,83694;
358;9,35588;48,83763;
359;9,35567;48,83809;
360;9,35572;48,83815;
361;9,35584;48,83824;
362;9,35549;48,83845;
363;9,35521;48,83868;
364;9,35438;48,83954;
365;9,35384;48,8402;
366;9,35342;48,84066;
367;9,35334;48,84073;
368;9,35309;48,8411;
369;9,3529;48,84168;
370;9,35279;48,84216;
371;9,35274;48,84272;
372;9,35276;48,84313;
373;9,35269;48,84369;
374;9,35236;48,84558;
375;9,35195;48,84672;
376;9,3512;48,8479;
377;9,35079;48,84839;
378;9,35029;48,84884;
379;9,34956;48,8493;
380;9,34872;48,84975;
381;9,34852;48,84988;
382;9,34786;48,8502;
383;9,34821;48,85057;
384;9,34826;48,85064;
385;9,34831;48,85077;
386;9,34815;48,85085;
387;9,34765;48,85104;
388;9,34711;48,8512;
389;9,347;48,85121;
390;9,34666;48,8512;
391;9,34612;48,85123;
392;9,34572;48,85142;
393;9,34453;48,85243;
394;9,34423;48,8526;
395;9,34399;48,85269;
396;9,34367;48,85295;
397;9,34357;48,85306;
398;9,34335;48,85319;
399;9,34304;48,85333;
400;9,34284;48,8535;
401;9,34149;48,85392;
402;9,3398;48,85427;
403;9,3383;48,85481;
404;9,33833;48,85492;
405;9,33649;48,85614;
406;9,33542;48,85674;
407;9,3348;48,85699;
408;9,33472;48,85704;
409;9,33463;48,85714;
410;9,33443;48,85763;
411;9,33444;48,85765;
412;9,33444;48,85769;
413;9,33443;48,8577;
414;9,33443;48,85772;
415;9,33439;48,85775;
416;9,33438;48,85782;
417;9,33406;48,85862;
418;9,33411;48,85863;
419;9,33411;48,85868;
420;9,33409;48,8587;
421;9,33407;48,85877;
422;9,33402;48,85885;
423;9,334;48,85891;
424;9,33397;48,85895;
425;9,33396;48,85895;
426;9,33395;48,85896;
427;9,33268;48,85887;
428;9,3311;48,85862;
429;9,33101;48,85862;
430;9,33094;48,85864;
431;9,33005;48,85903;
432;9,32989;48,85914;
433;9,32976;48,85926;
434;9,32953;48,85941;
435;9,32927;48,85953;
436;9,32906;48,85959;
437;9,32882;48,85963;
438;9,32899;48,85984;
439;9,32881;48,8599;
440;9,3289;48,86015;
441;9,32891;48,86033;
442;9,32886;48,86052;
443;9,32876;48,86073;
444;9,32857;48,86096;
445;9,32809;48,86121;
446;9,32782;48,86129;
447;9,32775;48,86133;
448;9,32732;48,8614;
449;9,32726;48,8614;
450;9,32694;48,86213;
451;9,32658;48,86317;
452;9,3265;48,86332;
453;9,32653;48,86342;
454;9,32653;48,86347;
455;9,32649;48,86358;
456;9,32539;48,86555;
457;9,32551;48,86594;
458;9,32602;48,86731;
459;9,32595;48,86741;
460;9,32574;48,86758;
461;9,32493;48,86813;
462;9,32408;48,86881;
463;9,32272;48,87042;
464;9,32231;48,87359;
465;9,32282;48,87363;
466;9,32116;48,87494;
467;9,32179;48,87522;
468;9,32171;48,87531;
469;9,32141;48,87584;
470;9,32121;48,87606;
471;9,31949;48,8774;
472;9,31927;48,87723;
473;9,31883;48,87763;
474;9,31873;48,87774;
475;9,31867;48,87783;
476;9,31856;48,87807;
477;9,3175;48,88112;
478;9,31728;48,88148;
479;9,31699;48,88186;
480;9,31661;48,88225;
481;9,31605;48,88268;
482;9,31571;48,88299;
483;9,31561;48,88311;
484;9,31546;48,88334;
485;9,31539;48,88352;
486;9,31532;48,88383;
487;9,3153;48,88422;
488;9,31534;48,88473;
489;9,31533;48,88523;
490;9,31526;48,88585;
491;9,31516;48,88612;
492;9,31507;48,88628;
493;9,31494;48,88646;
494;9,3147;48,88671;
495;9,31335;48,8879;
496;9,31288;48,88841;
497;9,31208;48,88833;
498;9,31194;48,88852;
499;9,31185;48,88859;
500;9,31138;48,88888;
501;9,30962;48,89011;
502;9,30861;48,89076;
503;9,30403;48,89344;
504;9,3035;48,89368;
505;9,30196;48,89419;
506;9,30139;48,89446;
507;9,30058;48,89497;
508;9,30026;48,89512;
